"","Predator_Lifestage","Feeding_interaction","Intercept","Slope","Adjusted_R_sequared","FStat","Pvalue"
"2","adult","piscivorous","18859.8842209802","59.1262314720644","0.0214815826125754","389.54918201242","8.67461555109464e-86"
"3","adult","planktivorous","26967.7354654314","152.795681507932","0.00851142834255536","2.34776566062415","0.12748816361192"
"4","adult","predacious","14022.5769795346","86.6733851893607","0.0759802680781144","653.067813104215","1.72637702927156e-138"
"5","adult","predacious/piscivorous","503.058942134918","11.949120671082","0.189367128194824","38.3766492391315","4.79389028064082e-09"
"6","juvenile","piscivorous","5510.17020640088","10.2848479190317","0.0092722892751218","29.3392617579319","6.55097406740425e-08"
"7","juvenile","planktivorous","2.25196721311474","6557.37704918046","NaN","NaN","NaN"
"8","juvenile","predacious","1477.06697786479","72.527690997458","0.0697737267188754","158.590259538987","4.12858422953433e-35"
"9","larva","planktivorous","0.149952307811492","-0.125540385475094","-0.000747756973283886","0.234868991404557","0.628040559141267"
"10","larva","predacious","0.107758676365579","16253.0221597405","0.320798440187257","572.975881760159","5.60208041879037e-104"
"11","larva / juvenile","insectivorous","-3.45975627178894","81.1591380069623","0.608629729688045","49.2088780154159","8.51926669047012e-08"
"12","larva / juvenile","piscivorous","9.86483143239672","172.511898493461","0.147015087447103","2.72353678574574","0.133275952079355"
"13","larva / juvenile","planktivorous","0.41201753189867","100348.136755092","0.01994771868135","3.42209376818833","0.0668312825188673"
"14","larva / juvenile","predacious","1.51278179933138","164.216226022138","0.125008359090956","70.4338776254893","5.25237217935004e-16"
"15","postlarva","piscivorous","0.0382407206914082","0.582050921513236","0.593025179220826","47.6289430356757","9.72722953165703e-08"
"16","postlarva","predacious","0.133502073567387","-0.00861452759101591","-0.00355857184606756","0.748237314533598","0.389989666306616"
"18","postlarva/juvenile","planktivorous","0.153516129748767","21012.870102476","0.0728060983451744","21.65156363799","5.19518130117455e-06"
"19","postlarva/juvenile","predacious","0.565541752418578","1.7461898824416","0.0446541755292746","28.5306686992787","1.32011188235226e-07"
