"Category","Type.of.feeding.interaction","mean","median","log_mean","log_median"
"Predator_mass","insectivorous",5.57075,0.9585,-0.19768531886863,-0.155625491649087
"Predator_mass","piscivorous",19181.42434702,2900,7.71223438647515,7.97246601597457
"Predator_mass","planktivorous",2796.97195938687,0.0216,-2.8444155291803,-3.83506196429202
"Predator_mass","predacious",10431.6848345828,609,4.77986971956941,6.4118182677099
"Predator_mass","predacious/piscivorous",764.634782608696,590,6.06403752213459,6.38012253689976
"Prey_mass","insectivorous",0.111269125,0.0442,-2.97649490953736,-3.11903048989848
"Prey_mass","piscivorous",39.2207782482792,6.16,1.63552827510992,1.81807677754543
"Prey_mass","planktivorous",0.534151423090122,8.72e-07,-12.2973266641226,-13.9524764130374
"Prey_mass","predacious",13.9816173491183,0.218,-3.3992920045753,-1.52326021619305
"Prey_mass","predacious/piscivorous",21.8908024844721,13.6,2.41088614444964,2.61006979274201
"Prey_predator_size_ratio","insectivorous",0.169393090293328,0.0731837606837607,-2.77880959066873,-2.6155823718929
"Prey_predator_size_ratio","piscivorous",0.0339626295963747,0.00363636363636364,-6.07670611136523,-5.61677109766657
"Prey_predator_size_ratio","planktivorous",0.277309597045255,5.4054054054054e-05,-9.45291113494234,-9.82552601106642
"Prey_predator_size_ratio","predacious",0.0566180802762985,0.000250786323720015,-8.1791617241447,-8.29090937545023
"Prey_predator_size_ratio","predacious/piscivorous",0.0473234482936906,0.0244705882352941,-3.65315137768494,-3.71028336277709
